ID,Home_income,Home_car,Home_drive,Age,Gender,Home_type,P_Trip_purpose,P_Trip_seq
256177_2,4,1,1,"[55,60)",1,1,4,2
256203_1,5,1,1,"[65,70)",0,1,4,2
256161_2,4,1,1,"[35,40)",1,1,4,2
190011_1,2,0,0,"[75,80)",1,3,4,2
256185_2,2,1,0,"[60,65)",0,1,4,2
256154_1,4,1,1,"[40,45)",1,1,0,1
256177_2,4,1,1,"[55,60)",1,1,0,1
256240_1,4,0,1,"[30,35)",1,1,0,1
256055_1,5,1,1,"[55,60)",1,1,4,2
196672_2,2,0,0,"[35,40)",0,4,0,1
191597_1,2,1,1,"[35,40)",1,3,4,2
256156_4,5,1,0,"[15,20)",0,1,4,2
196548_1,3,1,1,"[40,45)",1,3,0,1
256142_2,5,1,1,"[45,50)",0,1,4,2
256200_1,5,1,1,"[45,50)",1,1,0,1
191597_1,2,1,1,"[35,40)",1,3,0,1
256069_3,5,1,1,"[25,30)",1,1,4,2
256418_3,6,1,0,"[30,35)",0,1,0,1
256198_3,6,1,1,"[25,30)",1,1,0,1
256214_1,5,1,1,"[50,55)",0,1,2,1
256069_3,5,1,1,"[25,30)",1,1,0,1
256541_3,5,0,0,"[15,20)",0,1,4,2
256142_3,5,1,1,"[20,25)",1,1,2,2
196644_1,1,0,0,"[25,30)",0,4,4,2
256558_2,5,1,1,"[45,50)",1,1,0,1
256412_3,5,1,0,"[25,30)",1,1,0,1
256145_1,1,0,1,"[70,75)",0,1,2,1
196672_2,2,0,0,"[35,40)",0,4,4,2
256240_1,4,0,1,"[30,35)",1,1,4,2
256558_2,5,1,1,"[45,50)",1,1,4,2
256198_1,6,1,1,"[55,60)",0,1,4,2
256200_1,5,1,1,"[45,50)",1,1,4,2
255454_4,4,1,0,"[20,25)",0,4,0,1
49779_2,3,0,0,"[30,35)",0,4,4,2
255454_4,4,1,0,"[20,25)",0,4,4,2
49167_1,2,0,0,"[55,60)",0,4,4,3
49167_1,2,0,0,"[55,60)",0,4,0,1
49451_1,2,0,1,"[70,75)",1,3,0,1
